dimension,phase_sigma,asymmetry_level,case_id,coherence_magnitude,symmetry_gap_mean_abs,residual_abs
6,0.600000,0.550000,d6_s0.60_a0.55_k3,0.8582199347,0.3205611269,0.0894587117
6,1.100000,0.000000,d6_s1.10_a0.00_k1,0.5471615929,0.0000000000,1.5599408832
6,1.100000,0.000000,d6_s1.10_a0.00_k2,0.3889921392,0.0000000000,0.0009125534
6,1.100000,0.000000,d6_s1.10_a0.00_k3,0.4441261856,0.0000000000,0.5817448778
6,1.100000,0.150000,d6_s1.10_a0.15_k1,0.4534961573,0.0812197792,3.0075601655
6,1.100000,0.150000,d6_s1.10_a0.15_k2,0.4836188354,0.0780688650,0.1805193560
6,1.100000,0.150000,d6_s1.10_a0.15_k3,0.5582604055,0.1062139009,1.0507520845
6,1.100000,0.350000,d6_s1.10_a0.35_k1,0.4290293377,0.1964456560,0.6737113494
6,1.100000,0.350000,d6_s1.10_a0.35_k2,0.6731596339,0.1633589161,0.6763691217
6,1.100000,0.350000,d6_s1.10_a0.35_k3,0.4277401214,0.2123739011,1.5733871962
6,1.100000,0.550000,d6_s1.10_a0.55_k1,0.5676996883,0.3264728090,0.2560313939
6,1.100000,0.550000,d6_s1.10_a0.55_k2,0.5399019425,0.2636252092,0.1867264076
6,1.100000,0.550000,d6_s1.10_a0.55_k3,0.6861035342,0.3386266611,0.3044579288
8,0.050000,0.000000,d8_s0.05_a0.00_k1,0.9990593222,0.0000000000,0.0025541162
8,0.050000,0.000000,d8_s0.05_a0.00_k2,0.9990886622,0.0000000000,0.0026583887
8,0.050000,0.000000,d8_s0.05_a0.00_k3,0.9990175220,0.0000000000,0.0011201829
8,0.050000,0.150000,d8_s0.05_a0.15_k1,0.9993186470,0.0844565550,0.0017168338
8,0.050000,0.150000,d8_s0.05_a0.15_k2,0.9989046388,0.0801408372,0.0027099280
8,0.050000,0.150000,d8_s0.05_a0.15_k3,0.9986048011,0.0890337274,0.0006161916
8,0.050000,0.350000,d8_s0.05_a0.35_k1,0.9984925590,0.1864386070,0.0029724670
